filepath,label,region,source,gbif_id,floralens_set,floralens_repos
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_1703230661_2.jpg,Phragmites australis,Unknown,floralens,1703230661.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_8.jpg,Phragmites australis,Unknown,floralens,,TEST,FloraOn
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2644024462_1.jpg,Phragmites australis,Unknown,floralens,2644024462.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2550131992_1.jpg,Phragmites australis,Unknown,floralens,2550131992.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2644742112_1.jpg,Phragmites australis,Unknown,floralens,2644742112.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974593745_1.jpg,Phragmites australis,Unknown,floralens,2974593745.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2645634728_1.jpg,Phragmites australis,Unknown,floralens,2645634728.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2543049946_1.jpg,Phragmites australis,Unknown,floralens,2543049946.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_1913721919_1.jpg,Phragmites australis,Unknown,floralens,1913721919.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974594263_1.jpg,Phragmites australis,Unknown,floralens,2974594263.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_1913721919_2.jpg,Phragmites australis,Unknown,floralens,1913721919.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_1986587409_1.jpg,Phragmites australis,Unknown,floralens,1986587409.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_1802716646_1.jpg,Phragmites australis,Unknown,floralens,1802716646.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2644150357_1.jpg,Phragmites australis,Unknown,floralens,2644150357.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_1586136875_1.jpg,Phragmites australis,Unknown,floralens,1586136875.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2550073556_1.jpg,Phragmites australis,Unknown,floralens,2550073556.0,TEST,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974509310_1.jpg,Phragmites australis,Unknown,floralens,2974509310.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974390818_1.jpg,Phragmites australis,Unknown,floralens,2974390818.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974476540_1.jpg,Phragmites australis,Unknown,floralens,2974476540.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974464296_1.jpg,Phragmites australis,Unknown,floralens,2974464296.0,TEST,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2644033887_1.jpg,Phragmites australis,Unknown,floralens,2644033887.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974450924_1.jpg,Phragmites australis,Unknown,floralens,2974450924.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2644307202_1.jpg,Phragmites australis,Unknown,floralens,2644307202.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2269272018_1.jpg,Phragmites australis,Unknown,floralens,2269272018.0,VALIDATION,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974437525_1.jpg,Phragmites australis,Unknown,floralens,2974437525.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2645583646_1.jpg,Phragmites australis,Unknown,floralens,2645583646.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2429576606_2.jpg,Phragmites australis,Unknown,floralens,2429576606.0,VALIDATION,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2366132879_2.jpg,Phragmites australis,Unknown,floralens,2366132879.0,VALIDATION,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2242953729_3.jpg,Phragmites australis,Unknown,floralens,2242953729.0,VALIDATION,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2643516987_2.jpg,Phragmites australis,Unknown,floralens,2643516987.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974380145_1.jpg,Phragmites australis,Unknown,floralens,2974380145.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974332252_1.jpg,Phragmites australis,Unknown,floralens,2974332252.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974399375_1.jpg,Phragmites australis,Unknown,floralens,2974399375.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_1978461917_2.jpg,Phragmites australis,Unknown,floralens,1978461917.0,VALIDATION,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2643651999_1.jpg,Phragmites australis,Unknown,floralens,2643651999.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974483698_1.jpg,Phragmites australis,Unknown,floralens,2974483698.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2974523351_1.jpg,Phragmites australis,Unknown,floralens,2974523351.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2643516987_1.jpg,Phragmites australis,Unknown,floralens,2643516987.0,VALIDATION,Pl@ntNet
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2540816913_2.jpg,Phragmites australis,Unknown,floralens,2540816913.0,VALIDATION,iNaturalist
C:\Users\USER\Downloads\files(4)\invasivelens\invasivelens\data_raw\floralens\Phragmites_australis\Phragmites_australis_2397590324_1.jpg,Phragmites australis,Unknown,floralens,2397590324.0,VALIDATION,iNaturalist
